OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,DayOfTheMonth
278797,Wired Headphones,1,11.99,11/21/19 09:54,"46 Park St, New York City, NY 10001",21
278798,USB-C Charging Cable,2,11.95,11/17/19 10:03,"962 Hickory St, Austin, TX 73301",17
278799,Apple Airpods Headphones,1,150,11/19/19 14:56,"464 Cherry St, Los Angeles, CA 90001",19
278800,27in FHD Monitor,1,149.99,11/25/19 22:24,"649 10th St, Seattle, WA 98101",25
278802,USB-C Charging Cable,1,11.95,11/14/19 20:34,"154 2nd St, San Francisco, CA 94016",14
278804,Bose SoundSport Headphones,1,99.99,11/15/19 11:48,"866 Sunset St, Austin, TX 73301",15
278805,Lightning Charging Cable,1,14.95,11/27/19 11:50,"670 Elm St, San Francisco, CA 94016",27
278806,Bose SoundSport Headphones,1,99.99,11/19/19 19:12,"174 2nd St, Boston, MA 02215",19
278806,ThinkPad Laptop,1,999.99,11/19/19 19:12,"174 2nd St, Boston, MA 02215",19
278807,ThinkPad Laptop,1,999.99,11/25/19 21:52,"240 Elm St, Austin, TX 73301",25
278808,AAA Batteries (4-pack),1,2.99,11/23/19 13:19,"155 Highland St, Boston, MA 02215",23
278809,AA Batteries (4-pack),1,3.84,11/17/19 12:38,"969 13th St, Dallas, TX 75001",17
278812,Apple Airpods Headphones,1,150,11/17/19 20:08,"601 Church St, Seattle, WA 98101",17
278814,AA Batteries (4-pack),3,3.84,11/16/19 16:45,"419 Hill St, Boston, MA 02215",16
278815,Lightning Charging Cable,1,14.95,11/18/19 13:06,"815 Dogwood St, New York City, NY 10001",18
278818,USB-C Charging Cable,1,11.95,11/16/19 22:12,"541 Johnson St, New York City, NY 10001",16
278820,USB-C Charging Cable,2,11.95,11/17/19 15:11,"882 Walnut St, Portland, OR 97035",17
278821,USB-C Charging Cable,1,11.95,11/25/19 16:17,"327 13th St, Dallas, TX 75001",25
278822,Bose SoundSport Headphones,1,99.99,11/20/19 08:17,"816 Park St, Atlanta, GA 30301",20
278823,AA Batteries (4-pack),1,3.84,11/29/19 20:42,"234 9th St, Boston, MA 02215",29
278826,20in Monitor,1,109.99,11/26/19 15:58,"532 Cedar St, Austin, TX 73301",26
278829,iPhone,1,700,11/20/19 22:19,"977 Johnson St, Los Angeles, CA 90001",20
278835,AAA Batteries (4-pack),1,2.99,11/13/19 20:05,"302 Highland St, San Francisco, CA 94016",13
